laboratory	provider_npi	claim_id_count
Lab B	1831404367	14
Lab D	1720039704	14
Lab D	1255700993	14
Lab A	1174979900	14
Lab A	1407839798	14
Lab I	1407115181	14
Lab D	1427217439	14
Lab A	1912939471	13
Lab H	1043668940	13
Lab D	1205157757	13
Lab D	1891264974	13
Lab B	1881720068	13
Lab F	1538722616	13
Lab A	1114284189	13
Lab A	1003340613	13
Lab D	1215975677	13
Lab A	1275977472	13
Lab D	1922267384	13
Lab A	1093152738	13
Lab A	1912353657	13
Lab D	1376099572	13
Lab D	1679822266	13
Lab A	1871954750	13
Lab D	1972021707	13
Lab D	1750358321	13
Lab D	1659536126	13
Lab I	1164683777	13
Lab D	1801865738	12
Lab D	1942278817	12
Lab B	1477657617	12
Lab B	1881788099	12
Lab D	1275960916	12
Lab D	1417192881	12
Lab D	1760583389	12
Lab D	1548630312	12
Lab B	1235394107	12
Lab B	1568751741	12
Lab A	1841464203	12
Lab A	1871651166	12
Lab D	1487986469	12
Lab B	1043690993	12
Lab B	1114338498	12
Lab A	1104139369	12
Lab A	1154686095	12
Lab D	1700220811	12
Lab A	1770650913	12
Lab A	1962484592	11
Lab B	1922037464	11
Lab D	1023047503	11
Lab D	1932612355	11
Lab D	1639400997	11
Lab A	1871844506	11
Lab A	1770031221	11
Lab D	1043546534	11
Lab D	1659723120	11
Lab A	1912366519	11
Lab D	1598027286	11
Lab B	1184718314	11
Lab B	1376689059	11
Lab D	1083913388	11
Lab A	1003809443	11
Lab A	1003859372	11
Lab A	1578530341	11
Lab A	1336571629	11
Lab A	1154684504	11
Lab A	1144287848	11
Lab B	1447329032	11
Lab D	1730102583	11
Lab B	1639497688	11
Lab B	1235424334	11
Lab D	1053778910	11
Lab B	1578565487	11
Lab D	1336176643	10
Lab D	1508803743	10
Lab D	1588638852	10
Lab C	1821266263	10
Lab D	1962852723	10
Lab B	1295986727	10
Lab D	1598787426	10
Lab D	1306199625	10
Lab B	1265534242	10
Lab D	1164557054	10
Lab A	1073671368	10
Lab B	1639381346	10
Lab D	1497026272	10
Lab D	1538214036	10
Lab A	1598900995	10
Lab D	1235589136	10
Lab C	1417941840	10
Lab A	1750342010	10
Lab A	1174558480	10
Lab B	1164643664	10
Lab D	1669950556	10
Lab A	1659573343	10
Lab D	1528451911	10
Lab A	1215904024	10
Lab B	1255427449	10
Lab D	1598758146	10
Lab D	1588679039	10
Lab B	1144292590	10
Lab A	1144551904	10
Lab D	1871706218	10
Lab A	1326268780	9
Lab D	1205092061	9
Lab D	1245230382	9
Lab D	1265612329	9
Lab D	1245393131	9
Lab B	NULL	NULL
Lab D	1265436851	9
Lab B	1740471648	9
Lab D	1144488248	9
Lab D	1447562095	9
Lab A	1174557219	9
Lab G	1285963157	9
Lab A	1548244049	9
Lab A	1427006105	9
Lab C	1093056053	9
Lab A	1639439862	9
Lab D	1639453822	9
Lab D	1427499565	9
Lab D	1518198233	9
Lab D	1669582870	9
Lab D	1124318639	9
Lab D	1447227434	9
Lab D	1639677974	8
Lab D	1679700280	8
Lab D	1790757557	8
Lab D	1790753796	8
Lab B	1821004599	8
Lab C	1275726598	8
Lab D	1376614107	8
Lab D	1417903691	8
Lab D	1639461015	8
Lab D	1447346705	8
Lab A	1144389339	8
Lab D	1801949417	8
Lab B	1982014049	8
Lab D	1336589159	8
Lab B	1467455386	8
Lab B	1831125566	8
Lab D	1790208619	8
Lab B	1952666166	8
Lab B	1285854653	8
Lab D	1265458905	8
Lab D	1053543066	8
Lab A	1033114517	8
Lab A	1033170519	8
Lab A	1043540529	8 
Lab D	1346260379	8
Lab H	1093056053	8
Lab A	1831152982	8
Lab D	1720374069	8
Lab D	1093001059	8
Lab H	1881129427	8
Lab B	1689010738	8
Lab A	1508966227	8
Lab A	1447576541	8
Lab A	1437594116	8
Lab D	1720195233	8
Lab A	1821004599	8
Lab D	1851527329	8
Lab D	1164499166	8
Lab B	1720553522	8
Lab D	1184071680	8
Lab B	1093178402	8
Lab D	1528563160	8
Lab H	1760431464	8
Lab B	1124056494	8
Lab B	1124081096	8
Lab D	1023245024	8
Lab A	1215177852	8
Lab B	1124460217	8
Lab A	1780795625	8
Lab D	1407358450	7
Lab E	1063684934	7
Lab D	1982676730	7
Lab D	1316396385	7
Lab B	1376558429	7
Lab D	1427346881	7
Lab D	1689696510	7
Lab D	1518028117	7
Lab D	1902884497	7
Lab D	1669763033	7
Lab A	1659608172	7
Lab J	1790164820	7
Lab B	1689698342	7
Lab D	1720521008	7
Lab C	1043304462	7
Lab A	1811447550	7
Lab D	1679038194	7
Lab A	1588804579	7
Lab I	1013979665	7
Lab B	1720642655	7
Lab A	1780824334	7
Lab B	1922244128	7
Lab D	1255381422	7
Lab D	1124081096	7
Lab D	1003136334	7
Lab A	1992830152	7
Lab D	1245449099	7
Lab B	1811292170	7
Lab D	1245208156	7
Lab A	1225064421	7
Lab F	1295986727	7
Lab D	1821067703	7
Lab B	1821266263	7
Lab D	1548725112	7
Lab F	1669586442	7
Lab D	1477846608	7
Lab D	1871597484	7
Lab D	1124428032	7
Lab B	1619067378	7
Lab D	1154390276	7
Lab D	1821061029	6
Lab D	1841775434	6
Lab J	1891174546	6
Lab H	1114220605	6
Lab D	1770698490	6
Lab D	1871566000	6
Lab D	1710110275	6
Lab H	1154700219	6
Lab J	1790208619	6
Lab D	1942287933	6
Lab D	1831486471	6
Lab D	1821266263	6
Lab D	1821427386	6
Lab B	1427234277	6
Lab B	1730284027	6
Lab B	1508033465	6
Lab B	1316925472	6
Lab D	1871871533	6
Lab D	1578942611	6
Lab B	1770649477	6
Lab B	1477749836	6
Lab D	1811020415	6
Lab B	1770524167	6
Lab B	1033230800	6
Lab D	1790125649	6
